更新时间: 2026-01-31 03:33:09（北京时间）

更新时间,#genre#
2026-01-31 03:33:09,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV4,http://123.181.151.232:7000/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://115.171.216.84:4000/rtp/225.1.8.4:8092$北京市电信_result_ip
CCTV4,http://183.220.107.138:4022/rtp/239.11.0.109:5140$四川移动
CCTV4,http://120.41.66.7:18888/rtp/239.61.2.206:9224$福建省电信_result_ip
CCTV4,http://180.105.184.135:4000/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://180.105.184.135:4000/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://180.105.184.135:4000/rtp/239.49.1.4:6000$江苏电信
CCTV4,http://124.78.12.70:8686/rtp/233.18.204.70:5140$上海市电信_result_ip
CCTV4,http://124.78.12.70:8686/rtp/233.18.204.23:5140$上海市电信_result_ip
CCTV4,http://114.95.80.29:9001/rtp/233.18.204.70:5140$上海市电信_result_ip
CCTV4,http://114.95.80.29:9001/rtp/233.18.204.23:5140$上海市电信_result_ip
CCTV4,http://120.41.66.7:18889/rtp/239.61.2.206:9224$福建省电信_result_ip
CCTV4,http://114.233.64.19:4022/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://114.233.64.19:4022/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://114.233.64.19:4022/rtp/239.49.1.4:6000$江苏电信
CCTV4欧洲,http://123.117.161.44:8118/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://111.193.239.94:8888/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://123.181.151.232:7000/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://123.117.161.44:8118/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://111.193.239.94:8888/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://123.181.151.232:7000/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://123.117.161.44:8118/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://111.193.239.94:8888/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://115.171.216.188:4000/rtp/225.1.8.89:8000$北京市电信_result_ip
CCTV5,http://116.233.38.8:8888/rtp/233.18.204.71:5140$上海市电信_result_ip
CCTV5,http://116.233.38.8:8888/rtp/233.18.204.24:5140$上海市电信_result_ip
CCTV5,http://113.205.140.92:4022/rtp/235.254.198.54:1492$重庆市电信
CCTV5,http://123.181.151.232:7000/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://115.171.216.84:4000/rtp/225.1.8.89:8000$北京市电信_result_ip
